row_num,created_at,business_name,business_country_name,business_number_of_employees_range,business_yearly_revenue_range,business_website,business_region,business_naics_description,business_id
1,2026-08-17T18:46:07.286Z,Martins Investment Group (MIG),united states,[1-10],[500K-1M],martins-ig.com/701.html,,Employment Services,2886c21520a3459c3441f44d71b4f513
2,2026-08-17T18:46:07.286Z,HSN Improvements LLC,united states,[11-50],[5M-10M],hsn.com,ohio,Household and Institutional Furniture Manufacturing,66276b19ba7ad3bb54e564df556f811d
3,2026-08-17T18:46:07.286Z,Fastfortechnologies,united states,[1-10],[1M-5M],fastfortechnologies.com,new york,,3afe62125aa5d013682c91a283282751
4,2026-08-17T18:46:07.286Z,"Bijoux International, Inc.",united states,[1-10],[1M-5M],bijoux-inc.com,new jersey,Sporting and Recreational Goods and Supplies Merchant Wholesalers,62cdb44edd43364309d2a1d97941fe5c
5,2026-08-17T18:46:07.286Z,ICTX WaveMedia,united states,[1-10],[1M-5M],ictxwavemedia.net,texas,Wired Telecommunications Carriers,b37dafaa5cad78bc2fa78223aa39b949
6,2026-08-17T18:46:07.286Z,360 Cloud Solutions (combined with Moss Adams in 2025),united states,[11-50],[1M-5M],mossadams.com,north carolina,Computer Systems Design and Related Services,6477f465aa927ff67dce3f9f22248c0f
7,2026-08-17T18:46:07.286Z,Sacramento Jet Center,united states,[11-50],[10M-25M],sacjet.com,california,Aerospace Product and Parts Manufacturing,3cfc4cc317d4ed90abf8dfeb522c8999
8,2026-08-17T18:46:07.286Z,First Weslyan Church Inc,united states,[1-10],[500K-1M],firstwesleyan.org,florida,Administration of Education Programs,91ee2532cae74bbca3bea0d156e13c7e
9,2026-08-17T18:46:07.286Z,TRB Comms,united states,[1-10],[500K-1M],trbcomms.work.gd,california,Business Schools and Computer and Management Training,2761cb57fab8380cad8561998abd84db
10,2026-08-17T18:46:07.286Z,"Parks, Erin",united states,[11-50],[5M-10M],erinparks.com,california,Legal Services,939edb8a79b449cc1c0ec4bd0a9758a0
11,2026-08-17T18:46:07.286Z,Army National Guard Armory,united states,[1-10],[0-500K],tnmilitary.org,,National Security,785adaa8d251aba78b2e27fb21b77e70
12,2026-08-17T18:46:07.286Z,Sanofi US,united states,[1-10],[1M-5M],sanofi.us,,Pharmaceutical Preparation Manufacturing,b57ba565e7f87a750eee44294220100b
13,2026-08-17T18:46:07.286Z,"EGS Customer Care, Inc.",united states,[1-10],[1M-5M],egscorp.com,illinois,,f0ec0ebe7a0a51f4979ade2998a23a11
14,2026-08-17T18:46:07.286Z,AI Sales,united states,[1-10],[500K-1M],example.com,california,Custom Computer Programming Services,96ed047499a3d10e7bd86a7903759221
15,2026-08-17T18:46:07.286Z,Bally Total Fitness,united states,[11-50],[1M-5M],ballyfitness.com,illinois,Fitness and Recreational Sports Centers,04b001a2057812f735cbcab76fd44e11
16,2026-08-17T18:46:07.286Z,ASTRSK,united states,[11-50],[5M-10M],astrskpr.com,new york,Public Relations Agencies,a679818851514d07d1ec2a46f471b7b0
17,2026-08-17T18:46:07.286Z,CrossPeak Solutions,united states,[11-50],[1M-5M],crosspeaksolutions.com,illinois,Computer Systems Design and Related Services,85faf12b1e21ed6611f4abddfe8e2ce5
18,2026-08-17T18:46:07.286Z,ROYBI,united states,[11-50],[1M-5M],lnk.bio,california,Educational Services,5a42675bce8dff8aa8c12653e732d374
19,2026-08-17T18:46:07.286Z,GadflyZone,united states,[11-50],[1M-5M],gadflyzone.com,florida,Administrative Management and General Management Consulting Services,f3cab2854e348e9babdefc72ba08b9ab
