lead_id,company,offer_name,sku,monthly_fee,setup_fee,neteller_link,entry_diagnostic
NPI-1902084221,"BACKSNAP ENTERPRISES, INC.",AI Autonomous Operations & Inbound Intake Agent,AI-ASSISTANT-VIP-RETAINER,2000.0,1000.0,https://member.neteller.com/pay?email=abdelshafyclapps%40gmail.com&account=4599228811&amount=2000.00&currency=USD&item=AI-ASSISTANT-VIP-RETAINER,15-Minute Operational Workflow & Lead Leakage Audit
NPI-1144234758,BB REHAB CENTERS INC,AI Autonomous Operations & Inbound Intake Agent,AI-ASSISTANT-VIP-RETAINER,2000.0,1000.0,https://member.neteller.com/pay?email=abdelshafyclapps%40gmail.com&account=4599228811&amount=2000.00&currency=USD&item=AI-ASSISTANT-VIP-RETAINER,15-Minute Operational Workflow & Lead Leakage Audit
NPI-1134306822,ACCIDENT AND HEALTHCARE CLINIC,AI Autonomous Operations & Inbound Intake Agent,AI-ASSISTANT-VIP-RETAINER,2000.0,1000.0,https://member.neteller.com/pay?email=abdelshafyclapps%40gmail.com&account=4599228811&amount=2000.00&currency=USD&item=AI-ASSISTANT-VIP-RETAINER,15-Minute Operational Workflow & Lead Leakage Audit
NPI-1538391511,ACU-CHIRO CLINIC INC.,AI Autonomous Operations & Inbound Intake Agent,AI-ASSISTANT-VIP-RETAINER,2000.0,1000.0,https://member.neteller.com/pay?email=abdelshafyclapps%40gmail.com&account=4599228811&amount=2000.00&currency=USD&item=AI-ASSISTANT-VIP-RETAINER,15-Minute Operational Workflow & Lead Leakage Audit
NPI-1285486910,A&J CHIROPRACTIC CLINIC,AI Autonomous Operations & Inbound Intake Agent,AI-ASSISTANT-VIP-RETAINER,2000.0,1000.0,https://member.neteller.com/pay?email=abdelshafyclapps%40gmail.com&account=4599228811&amount=2000.00&currency=USD&item=AI-ASSISTANT-VIP-RETAINER,15-Minute Operational Workflow & Lead Leakage Audit
NPI-1336355544,AMS MEDICAL AND REHABILITATION CENTER INC.,AI Autonomous Operations & Inbound Intake Agent,AI-ASSISTANT-VIP-RETAINER,2000.0,1000.0,https://member.neteller.com/pay?email=abdelshafyclapps%40gmail.com&account=4599228811&amount=2000.00&currency=USD&item=AI-ASSISTANT-VIP-RETAINER,15-Minute Operational Workflow & Lead Leakage Audit
NPI-1841455102,CARE REHAB CENTER LLC,AI Autonomous Operations & Inbound Intake Agent,AI-ASSISTANT-VIP-RETAINER,2000.0,1000.0,https://member.neteller.com/pay?email=abdelshafyclapps%40gmail.com&account=4599228811&amount=2000.00&currency=USD&item=AI-ASSISTANT-VIP-RETAINER,15-Minute Operational Workflow & Lead Leakage Audit
NPI-1548777543,CEDA ORTHOPEDICS & INTERVENTIONAL MEDICINE,AI Autonomous Operations & Inbound Intake Agent,AI-ASSISTANT-VIP-RETAINER,2000.0,1000.0,https://member.neteller.com/pay?email=abdelshafyclapps%40gmail.com&account=4599228811&amount=2000.00&currency=USD&item=AI-ASSISTANT-VIP-RETAINER,15-Minute Operational Workflow & Lead Leakage Audit
NPI-1437221819,CHIROPRACTIC BACK PAIN CLINIC,AI Autonomous Operations & Inbound Intake Agent,AI-ASSISTANT-VIP-RETAINER,2000.0,1000.0,https://member.neteller.com/pay?email=abdelshafyclapps%40gmail.com&account=4599228811&amount=2000.00&currency=USD&item=AI-ASSISTANT-VIP-RETAINER,15-Minute Operational Workflow & Lead Leakage Audit
NPI-1073825949,"ALL DADE REHAB & WELLNESS CENTER, L.L.C.",AI Autonomous Operations & Inbound Intake Agent,AI-ASSISTANT-VIP-RETAINER,2000.0,1000.0,https://member.neteller.com/pay?email=abdelshafyclapps%40gmail.com&account=4599228811&amount=2000.00&currency=USD&item=AI-ASSISTANT-VIP-RETAINER,15-Minute Operational Workflow & Lead Leakage Audit
