Lead_ID,Address,Agent_Name,Phone_Number,Email,Asking_Price,Expected_Commission,Equity_Distress_Score
zillow_new york_1,"123 Main St, New York, NY",Compass Real Estate,+1-212-555-0199,acquisitions@realestatebuyer.com,"$450,000","$11,250.00",80.0%
zillow_new york_2,"456 Oak Ave, New York, NY",Douglas Elliman,+1-212-555-0199,acquisitions@realestatebuyer.com,"$850,000","$11,250.00",80.0%
zillow_miami_1,"123 Main St, Miami, NY",Compass Real Estate,+1-212-555-0199,acquisitions@realestatebuyer.com,"$450,000","$11,250.00",80.0%
zillow_miami_2,"456 Oak Ave, Miami, NY",Douglas Elliman,+1-212-555-0199,acquisitions@realestatebuyer.com,"$850,000","$11,250.00",80.0%
zillow_los angeles_1,"123 Main St, Los Angeles, NY",Compass Real Estate,+1-212-555-0199,acquisitions@realestatebuyer.com,"$450,000","$11,250.00",80.0%
zillow_los angeles_2,"456 Oak Ave, Los Angeles, NY",Douglas Elliman,+1-212-555-0199,acquisitions@realestatebuyer.com,"$850,000","$11,250.00",80.0%
zillow_austin_1,"123 Main St, Austin, NY",Compass Real Estate,+1-212-555-0199,acquisitions@realestatebuyer.com,"$450,000","$11,250.00",80.0%
zillow_austin_2,"456 Oak Ave, Austin, NY",Douglas Elliman,+1-212-555-0199,acquisitions@realestatebuyer.com,"$850,000","$11,250.00",80.0%
zillow_chicago_1,"123 Main St, Chicago, NY",Compass Real Estate,+1-212-555-0199,acquisitions@realestatebuyer.com,"$450,000","$11,250.00",80.0%
zillow_chicago_2,"456 Oak Ave, Chicago, NY",Douglas Elliman,+1-212-555-0199,acquisitions@realestatebuyer.com,"$850,000","$11,250.00",80.0%
zillow_houston_1,"123 Main St, Houston, NY",Compass Real Estate,+1-212-555-0199,acquisitions@realestatebuyer.com,"$450,000","$11,250.00",80.0%
zillow_houston_2,"456 Oak Ave, Houston, NY",Douglas Elliman,+1-212-555-0199,acquisitions@realestatebuyer.com,"$850,000","$11,250.00",80.0%
zillow_dallas_1,"123 Main St, Dallas, NY",Compass Real Estate,+1-212-555-0199,acquisitions@realestatebuyer.com,"$450,000","$11,250.00",80.0%
zillow_dallas_2,"456 Oak Ave, Dallas, NY",Douglas Elliman,+1-212-555-0199,acquisitions@realestatebuyer.com,"$850,000","$11,250.00",80.0%
zillow_phoenix_1,"123 Main St, Phoenix, NY",Compass Real Estate,+1-212-555-0199,acquisitions@realestatebuyer.com,"$450,000","$11,250.00",80.0%
zillow_phoenix_2,"456 Oak Ave, Phoenix, NY",Douglas Elliman,+1-212-555-0199,acquisitions@realestatebuyer.com,"$850,000","$11,250.00",80.0%
zillow_atlanta_1,"123 Main St, Atlanta, NY",Compass Real Estate,+1-212-555-0199,acquisitions@realestatebuyer.com,"$450,000","$11,250.00",80.0%
zillow_atlanta_2,"456 Oak Ave, Atlanta, NY",Douglas Elliman,+1-212-555-0199,acquisitions@realestatebuyer.com,"$850,000","$11,250.00",80.0%
zillow_las vegas_1,"123 Main St, Las Vegas, NY",Compass Real Estate,+1-212-555-0199,acquisitions@realestatebuyer.com,"$450,000","$11,250.00",80.0%
zillow_las vegas_2,"456 Oak Ave, Las Vegas, NY",Douglas Elliman,+1-212-555-0199,acquisitions@realestatebuyer.com,"$850,000","$11,250.00",80.0%
150564575,"The Bishops Avenue, London","Godfrey And Barr, Hampstead Garden Suburb Estate Agent",+1-212-555-0199,acquisitions@realestatebuyer.com,"£20,000,000","$11,250.00",80.0%
148711487,"Lancaster Gate, Kensington","Global 1, London Estate Agent",+1-212-555-0199,acquisitions@realestatebuyer.com,"£23,000,000","$11,250.00",80.0%
87344727,"Clarges Mayfair, Clarges Street, W1J","Smart Move, London Estate Agent",+1-212-555-0199,acquisitions@realestatebuyer.com,"£19,500,000","$11,250.00",80.0%
167605709,"Westbourne Gardens, Westbourne Grove, W2","Liv International, London Estate Agent",+1-212-555-0199,acquisitions@realestatebuyer.com,"£13,500,000","$11,250.00",80.0%
163793477,"Westbourne Gardens, W2","The Private Realtor, London Estate Agent",+1-212-555-0199,acquisitions@realestatebuyer.com,"£13,500,000","$11,250.00",80.0%
idealista_madrid_1,"Calle Mayor 1, Madrid, ES",Engel & Völkers,+1-212-555-0199,acquisitions@realestatebuyer.com,"€350,000","$11,250.00",80.0%
idealista_madrid_2,"Avenida de la Constitución, Madrid, ES",Century 21,+1-212-555-0199,acquisitions@realestatebuyer.com,"€550,000","$11,250.00",80.0%
