source,type,entity,contact,email,phone,website,address,city,state,distress,confidence,status,appraised,equity
wholesale_deal,Distressed Property,,,,,,2019 Reagan Blvd,Carrollton 75006,TX,Pre-Foreclosure,80,Verified,"$299,480","**$235,080**"
wholesale_deal,Distressed Property,,,,,,1618 Buena Vista Ave,Garland 75043,TX,Pre-Foreclosure,80,Verified,"$354,580","**$265,316**"
wholesale_deal,Distressed Property,,,,,,1825 Canelo Dr,Dallas 75232,TX,Pre-Foreclosure,80,Verified,"$249,390","**$171,710**"
wholesale_deal,Distressed Property,,,,,,124 Brunswick Ln,Mesquite 75149,TX,Pre-Foreclosure,80,Verified,"$212,200","**$163,700**"
wholesale_deal,Distressed Property,,,,,,2635 Klondike Dr,Dallas 75228,TX,Pre-Foreclosure,80,Verified,"$241,990","**$163,429**"
wholesale_deal,Distressed Property,,,,,,1146 Hickory Trail,Garland 75040,TX,Pre-Foreclosure,80,Verified,"$210,260","**$153,260**"
wholesale_deal,Distressed Property,,,,,,2106 Holland St,Grand Prairie 75051,TX,Pre-Foreclosure,80,Verified,"$201,040","**$139,031**"
wholesale_deal,Distressed Property,,,,,,1510 Glen Ave,Dallas 75216,TX,Pre-Foreclosure,80,Verified,"$179,560","**$119,060**"
wholesale_deal,Distressed Property,,,,,,3134 Arizona Ave,Dallas 75216,TX,Pre-Foreclosure,80,Verified,"$148,500","**$103,500**"
wholesale_deal,Distressed Property,,,,,,529 NE 5th St,Grand Prairie 75050,TX,Pre-Foreclosure,80,Verified,"$440,140","**$439,940**"
wholesale_deal,Distressed Property,,,,,,3715 Potomac Ave,Fort Worth 76107,TX,Pre-Foreclosure,80,Verified,"$641,965","**$446,965**"
wholesale_deal,Distressed Property,,,,,,3811 Melstone Dr,Arlington 76016,TX,Pre-Foreclosure,80,Verified,"$335,996","**$210,596**"
wholesale_deal,Distressed Property,,,,,,1900 Ridge Oak St,Fort Worth 76112,TX,Pre-Foreclosure,80,Verified,"$239,485","**$189,485**"
wholesale_deal,Distressed Property,,,,,,6705 Northland Dr,Fort Worth 76137,TX,Pre-Foreclosure,80,Verified,"$358,968","**$119,928**"
wholesale_deal,Distressed Property,,,,,,1011 Wade Hampton St,Benbrook 76126,TX,Pre-Foreclosure,80,Verified,"$160,210","**$97,660**"
wholesale_deal,Distressed Property,,,,,,11812 WAX MYRTLE TR,(Tarrant),TX,Pre-Foreclosure,80,Verified,"$358,884","**$80,530**"
wholesale_deal,Distressed Property,,,,,,10708 LIPAN TR,(Tarrant),TX,Pre-Foreclosure,80,Verified,"$318,742","**$70,899**"
wholesale_deal,Distressed Property,,,,,,433 Joseph Ln,Crowley 76036,TX,Pre-Foreclosure,80,Verified,"$449,879","**$65,099**"
wholesale_deal,Distressed Property,,,,,,10320 Lastrup Dr,Fort Worth 76177,TX,Pre-Foreclosure,80,Verified,"$307,668","**$44,768**"
wholesale_deal,Distressed Property,,,,,,3629 Hatcher St,Fort Worth 76119,TX,Pre-Foreclosure,80,Verified,"$72,123","**$20,123**"
